county,state,cbsa,kind
Chaves County,New Mexico,"Roswell, NM",Micropolitan Statistical Area
Lincoln County,New Mexico,"Ruidoso, NM",Micropolitan Statistical Area
Franklin County,Alabama,"Russellville, AL",Micropolitan Statistical Area
Pope County,Arkansas,"Russellville, AR",Micropolitan Statistical Area
Yell County,Arkansas,"Russellville, AR",Micropolitan Statistical Area
Lincoln Parish,Louisiana,"Ruston, LA",Micropolitan Statistical Area
Rutland County,Vermont,"Rutland, VT",Micropolitan Statistical Area
El Dorado County,California,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
Placer County,California,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
Sacramento County,California,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
Yolo County,California,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area
Graham County,Arizona,"Safford, AZ",Micropolitan Statistical Area
Saginaw County,Michigan,"Saginaw, MI",Metropolitan Statistical Area
Benton County,Minnesota,"St. Cloud, MN",Metropolitan Statistical Area
Stearns County,Minnesota,"St. Cloud, MN",Metropolitan Statistical Area
Washington County,Utah,"St. George, UT",Metropolitan Statistical Area
Doniphan County,Kansas,"St. Joseph, MO-KS",Metropolitan Statistical Area
Andrew County,Missouri,"St. Joseph, MO-KS",Metropolitan Statistical Area
Buchanan County,Missouri,"St. Joseph, MO-KS",Metropolitan Statistical Area
DeKalb County,Missouri,"St. Joseph, MO-KS",Metropolitan Statistical Area
Bond County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
Calhoun County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
Clinton County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
Jersey County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
Macoupin County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
Madison County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
Monroe County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
St. Clair County,Illinois,"St. Louis, MO-IL",Metropolitan Statistical Area
Franklin County,Missouri,"St. Louis, MO-IL",Metropolitan Statistical Area
Jefferson County,Missouri,"St. Louis, MO-IL",Metropolitan Statistical Area
Lincoln County,Missouri,"St. Louis, MO-IL",Metropolitan Statistical Area
St. Charles County,Missouri,"St. Louis, MO-IL",Metropolitan Statistical Area
St. Louis County,Missouri,"St. Louis, MO-IL",Metropolitan Statistical Area
Warren County,Missouri,"St. Louis, MO-IL",Metropolitan Statistical Area
St. Louis city,Missouri,"St. Louis, MO-IL",Metropolitan Statistical Area
Elk County,Pennsylvania,"St. Marys, PA",Micropolitan Statistical Area
Columbiana County,Ohio,"Salem, OH",Micropolitan Statistical Area
Marion County,Oregon,"Salem, OR",Metropolitan Statistical Area
Polk County,Oregon,"Salem, OR",Metropolitan Statistical Area
Ottawa County,Kansas,"Salina, KS",Micropolitan Statistical Area
Saline County,Kansas,"Salina, KS",Micropolitan Statistical Area
Monterey County,California,"Salinas, CA",Metropolitan Statistical Area
Somerset County,Maryland,"Salisbury, MD",Metropolitan Statistical Area
Wicomico County,Maryland,"Salisbury, MD",Metropolitan Statistical Area
Salt Lake County,Utah,"Salt Lake City-Murray, UT",Metropolitan Statistical Area
Tooele County,Utah,"Salt Lake City-Murray, UT",Metropolitan Statistical Area
Irion County,Texas,"San Angelo, TX",Metropolitan Statistical Area
Tom Green County,Texas,"San Angelo, TX",Metropolitan Statistical Area
Atascosa County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
Bandera County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
Bexar County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
Comal County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
Guadalupe County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
Kendall County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
Medina County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
Wilson County,Texas,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area
San Diego County,California,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan Statistical Area
Bonner County,Idaho,"Sandpoint, ID",Micropolitan Statistical Area
Erie County,Ohio,"Sandusky, OH",Metropolitan Statistical Area
Ottawa County,Ohio,"Sandusky, OH",Metropolitan Statistical Area
Lee County,North Carolina,"Sanford, NC",Micropolitan Statistical Area
Alameda County,California,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area
Contra Costa County,California,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area
San Francisco County,California,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area
San Mateo County,California,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area
Marin County,California,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area
San Benito County,California,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area
Santa Clara County,California,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area
Aguas Buenas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Aibonito Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Barceloneta Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Barranquitas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Bayamón Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Caguas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Canóvanas Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Carolina Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Cataño Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Cayey Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Ceiba Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Ciales Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Cidra Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Comerío Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Corozal Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Dorado Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Fajardo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Florida Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Guaynabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Gurabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Humacao Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Juncos Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Las Piedras Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Loíza Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Luquillo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Manatí Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Maunabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Morovis Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Naguabo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Naranjito Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Orocovis Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Río Grande Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
San Juan Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
San Lorenzo Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Toa Alta Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Toa Baja Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Trujillo Alto Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Vega Alta Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Vega Baja Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
Yabucoa Municipio,Puerto Rico,"San Juan-Bayamón-Caguas, PR",Metropolitan Statistical Area
San Luis Obispo County,California,"San Luis Obispo-Paso Robles, CA",Metropolitan Statistical Area
Santa Cruz County,California,"Santa Cruz-Watsonville, CA",Metropolitan Statistical Area
Santa Fe County,New Mexico,"Santa Fe, NM",Metropolitan Statistical Area
Santa Barbara County,California,"Santa Maria-Santa Barbara, CA",Metropolitan Statistical Area
Sonoma County,California,"Santa Rosa-Petaluma, CA",Metropolitan Statistical Area
Chippewa County,Michigan,"Sault Ste. Marie, MI",Micropolitan Statistical Area
Bryan County,Georgia,"Savannah, GA",Metropolitan Statistical Area
Chatham County,Georgia,"Savannah, GA",Metropolitan Statistical Area
Effingham County,Georgia,"Savannah, GA",Metropolitan Statistical Area
Bradford County,Pennsylvania,"Sayre, PA",Micropolitan Statistical Area
Banner County,Nebraska,"Scottsbluff, NE",Micropolitan Statistical Area
Scotts Bluff County,Nebraska,"Scottsbluff, NE",Micropolitan Statistical Area
Jackson County,Alabama,"Scottsboro, AL",Micropolitan Statistical Area
Lackawanna County,Pennsylvania,"Scranton--Wilkes-Barre, PA",Metropolitan Statistical Area
Luzerne County,Pennsylvania,"Scranton--Wilkes-Barre, PA",Metropolitan Statistical Area
Wyoming County,Pennsylvania,"Scranton--Wilkes-Barre, PA",Metropolitan Statistical Area
Sussex County,Delaware,"Seaford, DE",Micropolitan Statistical Area
White County,Arkansas,"Searcy, AR",Micropolitan Statistical Area
Snohomish County,Washington,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area
King County,Washington,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area
Pierce County,Washington,"Seattle-Tacoma-Bellevue, WA",Metropolitan Statistical Area
Indian River County,Florida,"Sebastian-Vero Beach-West Vero Corridor, FL",Metropolitan Statistical Area
Highlands County,Florida,"Sebring, FL",Metropolitan Statistical Area
Pettis County,Missouri,"Sedalia, MO",Micropolitan Statistical Area
Snyder County,Pennsylvania,"Selinsgrove, PA",Micropolitan Statistical Area
Dallas County,Alabama,"Selma, AL",Micropolitan Statistical Area
Oconee County,South Carolina,"Seneca, SC",Micropolitan Statistical Area
Seneca County,New York,"Seneca Falls, NY",Micropolitan Statistical Area
Sevier County,Tennessee,"Sevierville, TN",Micropolitan Statistical Area
Jackson County,Indiana,"Seymour, IN",Micropolitan Statistical Area
Menominee County,Wisconsin,"Shawano, WI",Micropolitan Statistical Area
Shawano County,Wisconsin,"Shawano, WI",Micropolitan Statistical Area
Pottawatomie County,Oklahoma,"Shawnee, OK",Micropolitan Statistical Area
Sheboygan County,Wisconsin,"Sheboygan, WI",Metropolitan Statistical Area
Cleveland County,North Carolina,"Shelby-Kings Mountain, NC",Micropolitan Statistical Area
Bedford County,Tennessee,"Shelbyville, TN",Micropolitan Statistical Area
Mason County,Washington,"Shelton, WA",Micropolitan Statistical Area
Sheridan County,Wyoming,"Sheridan, WY",Micropolitan Statistical Area
Grayson County,Texas,"Sherman-Denison, TX",Metropolitan Statistical Area
Navajo County,Arizona,"Show Low, AZ",Micropolitan Statistical Area
Bossier Parish,Louisiana,"Shreveport-Bossier City, LA",Metropolitan Statistical Area
Caddo Parish,Louisiana,"Shreveport-Bossier City, LA",Metropolitan Statistical Area
De Soto Parish,Louisiana,"Shreveport-Bossier City, LA",Metropolitan Statistical Area
Shelby County,Ohio,"Sidney, OH",Micropolitan Statistical Area
Cochise County,Arizona,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area
Mississippi County,Missouri,"Sikeston, MO",Micropolitan Statistical Area
Scott County,Missouri,"Sikeston, MO",Micropolitan Statistical Area
Grant County,New Mexico,"Silver City, NM",Micropolitan Statistical Area
Woodbury County,Iowa,"Sioux City, IA-NE-SD",Metropolitan Statistical Area
Dakota County,Nebraska,"Sioux City, IA-NE-SD",Metropolitan Statistical Area
Union County,South Dakota,"Sioux City, IA-NE-SD",Metropolitan Statistical Area
Rock County,Minnesota,"Sioux Falls, SD-MN",Metropolitan Statistical Area
Lincoln County,South Dakota,"Sioux Falls, SD-MN",Metropolitan Statistical Area
McCook County,South Dakota,"Sioux Falls, SD-MN",Metropolitan Statistical Area
Minnehaha County,South Dakota,"Sioux Falls, SD-MN",Metropolitan Statistical Area
Turner County,South Dakota,"Sioux Falls, SD-MN",Metropolitan Statistical Area
St. Tammany Parish,Louisiana,"Slidell-Mandeville-Covington, LA",Metropolitan Statistical Area
Scurry County,Texas,"Snyder, TX",Micropolitan Statistical Area
Pulaski County,Kentucky,"Somerset, KY",Micropolitan Statistical Area
Somerset County,Pennsylvania,"Somerset, PA",Micropolitan Statistical Area
Tuolumne County,California,"Sonora, CA",Micropolitan Statistical Area
St. Joseph County,Indiana,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area
Cass County,Michigan,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area
Monroe County,Wisconsin,"Sparta, WI",Micropolitan Statistical Area
Spartanburg County,South Carolina,"Spartanburg, SC",Metropolitan Statistical Area
Union County,South Carolina,"Spartanburg, SC",Metropolitan Statistical Area
Lawrence County,South Dakota,"Spearfish, SD",Micropolitan Statistical Area
Clay County,Iowa,"Spencer, IA",Micropolitan Statistical Area
Dickinson County,Iowa,"Spirit Lake, IA",Micropolitan Statistical Area
Spokane County,Washington,"Spokane-Spokane Valley, WA",Metropolitan Statistical Area
Stevens County,Washington,"Spokane-Spokane Valley, WA",Metropolitan Statistical Area
Menard County,Illinois,"Springfield, IL",Metropolitan Statistical Area
Sangamon County,Illinois,"Springfield, IL",Metropolitan Statistical Area
Hampden County,Massachusetts,"Springfield, MA",Metropolitan Statistical Area
Christian County,Missouri,"Springfield, MO",Metropolitan Statistical Area
Dallas County,Missouri,"Springfield, MO",Metropolitan Statistical Area
Greene County,Missouri,"Springfield, MO",Metropolitan Statistical Area
Polk County,Missouri,"Springfield, MO",Metropolitan Statistical Area
Webster County,Missouri,"Springfield, MO",Metropolitan Statistical Area
Clark County,Ohio,"Springfield, OH",Metropolitan Statistical Area
Oktibbeha County,Mississippi,"Starkville, MS",Micropolitan Statistical Area
Webster County,Mississippi,"Starkville, MS",Micropolitan Statistical Area
Centre County,Pennsylvania,"State College, PA",Metropolitan Statistical Area
Bulloch County,Georgia,"Statesboro, GA",Micropolitan Statistical Area
Evans County,Georgia,"Statesboro, GA",Micropolitan Statistical Area
Augusta County,Virginia,"Staunton-Stuarts Draft, VA",Metropolitan Statistical Area
Staunton city,Virginia,"Staunton-Stuarts Draft, VA",Metropolitan Statistical Area
Waynesboro city,Virginia,"Staunton-Stuarts Draft, VA",Metropolitan Statistical Area
Moffat County,Colorado,"Steamboat Springs, CO",Micropolitan Statistical Area
Routt County,Colorado,"Steamboat Springs, CO",Micropolitan Statistical Area
Erath County,Texas,"Stephenville, TX",Micropolitan Statistical Area
Logan County,Colorado,"Sterling, CO",Micropolitan Statistical Area
Whiteside County,Illinois,"Sterling, IL",Micropolitan Statistical Area
Portage County,Wisconsin,"Stevens Point-Plover, WI",Micropolitan Statistical Area
Payne County,Oklahoma,"Stillwater, OK",Micropolitan Statistical Area
San Joaquin County,California,"Stockton-Lodi, CA",Metropolitan Statistical Area
Buena Vista County,Iowa,"Storm Lake, IA",Micropolitan Statistical Area
St. Joseph County,Michigan,"Sturgis, MI",Micropolitan Statistical Area
Hopkins County,Texas,"Sulphur Springs, TX",Micropolitan Statistical Area
Chattooga County,Georgia,"Summerville, GA",Micropolitan Statistical Area
Sumter County,South Carolina,"Sumter, SC",Metropolitan Statistical Area
Montour County,Pennsylvania,"Sunbury, PA",Micropolitan Statistical Area
Northumberland County,Pennsylvania,"Sunbury, PA",Micropolitan Statistical Area
Lassen County,California,"Susanville, CA",Micropolitan Statistical Area
Nolan County,Texas,"Sweetwater, TX",Micropolitan Statistical Area
Madison County,New York,"Syracuse, NY",Metropolitan Statistical Area
Onondaga County,New York,"Syracuse, NY",Metropolitan Statistical Area
Oswego County,New York,"Syracuse, NY",Metropolitan Statistical Area
Cherokee County,Oklahoma,"Tahlequah, OK",Micropolitan Statistical Area
Coosa County,Alabama,"Talladega-Sylacauga, AL",Micropolitan Statistical Area
Talladega County,Alabama,"Talladega-Sylacauga, AL",Micropolitan Statistical Area
Gadsden County,Florida,"Tallahassee, FL",Metropolitan Statistical Area
Jefferson County,Florida,"Tallahassee, FL",Metropolitan Statistical Area
Leon County,Florida,"Tallahassee, FL",Metropolitan Statistical Area
Wakulla County,Florida,"Tallahassee, FL",Metropolitan Statistical Area
Pinellas County,Florida,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
Hernando County,Florida,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
Hillsborough County,Florida,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
Pasco County,Florida,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan Statistical Area
Taos County,New Mexico,"Taos, NM",Micropolitan Statistical Area
Christian County,Illinois,"Taylorville, IL",Micropolitan Statistical Area
Clay County,Indiana,"Terre Haute, IN",Metropolitan Statistical Area
Sullivan County,Indiana,"Terre Haute, IN",Metropolitan Statistical Area
Vermillion County,Indiana,"Terre Haute, IN",Metropolitan Statistical Area
Vigo County,Indiana,"Terre Haute, IN",Metropolitan Statistical Area
Little River County,Arkansas,"Texarkana, TX-AR",Metropolitan Statistical Area
Miller County,Arkansas,"Texarkana, TX-AR",Metropolitan Statistical Area
Bowie County,Texas,"Texarkana, TX-AR",Metropolitan Statistical Area
Wasco County,Oregon,"The Dalles, OR",Micropolitan Statistical Area
Upson County,Georgia,"Thomaston, GA",Micropolitan Statistical Area
Grady County,Georgia,"Thomasville, GA",Micropolitan Statistical Area
Thomas County,Georgia,"Thomasville, GA",Micropolitan Statistical Area
Seneca County,Ohio,"Tiffin, OH",Micropolitan Statistical Area
Tift County,Georgia,"Tifton, GA",Micropolitan Statistical Area
Turner County,Georgia,"Tifton, GA",Micropolitan Statistical Area
Stephens County,Georgia,"Toccoa, GA",Micropolitan Statistical Area
Fulton County,Ohio,"Toledo, OH",Metropolitan Statistical Area
Lucas County,Ohio,"Toledo, OH",Metropolitan Statistical Area
Wood County,Ohio,"Toledo, OH",Metropolitan Statistical Area
Jackson County,Kansas,"Topeka, KS",Metropolitan Statistical Area
Jefferson County,Kansas,"Topeka, KS",Metropolitan Statistical Area
Osage County,Kansas,"Topeka, KS",Metropolitan Statistical Area
Shawnee County,Kansas,"Topeka, KS",Metropolitan Statistical Area
Wabaunsee County,Kansas,"Topeka, KS",Metropolitan Statistical Area
Northwest Hills Planning Region,Connecticut,"Torrington, CT",Micropolitan Statistical Area
Reeves County,Texas,"Town of Pecos, TX",Micropolitan Statistical Area
Benzie County,Michigan,"Traverse City, MI",Metropolitan Statistical Area
Grand Traverse County,Michigan,"Traverse City, MI",Metropolitan Statistical Area
Kalkaska County,Michigan,"Traverse City, MI",Metropolitan Statistical Area
Leelanau County,Michigan,"Traverse City, MI",Metropolitan Statistical Area
Mercer County,New Jersey,"Trenton-Princeton, NJ",Metropolitan Statistical Area
Pike County,Alabama,"Troy, AL",Micropolitan Statistical Area
Nevada County,California,"Truckee-Grass Valley, CA",Micropolitan Statistical Area
Pima County,Arizona,"Tucson, AZ",Metropolitan Statistical Area
Coffee County,Tennessee,"Tullahoma-Manchester, TN",Micropolitan Statistical Area
Moore County,Tennessee,"Tullahoma-Manchester, TN",Micropolitan Statistical Area
Creek County,Oklahoma,"Tulsa, OK",Metropolitan Statistical Area
Okmulgee County,Oklahoma,"Tulsa, OK",Metropolitan Statistical Area
Osage County,Oklahoma,"Tulsa, OK",Metropolitan Statistical Area
Pawnee County,Oklahoma,"Tulsa, OK",Metropolitan Statistical Area
Rogers County,Oklahoma,"Tulsa, OK",Metropolitan Statistical Area
Tulsa County,Oklahoma,"Tulsa, OK",Metropolitan Statistical Area
Wagoner County,Oklahoma,"Tulsa, OK",Metropolitan Statistical Area
Itawamba County,Mississippi,"Tupelo, MS",Micropolitan Statistical Area
Lee County,Mississippi,"Tupelo, MS",Micropolitan Statistical Area
Prentiss County,Mississippi,"Tupelo, MS",Micropolitan Statistical Area
Greene County,Alabama,"Tuscaloosa, AL",Metropolitan Statistical Area
Hale County,Alabama,"Tuscaloosa, AL",Metropolitan Statistical Area
Pickens County,Alabama,"Tuscaloosa, AL",Metropolitan Statistical Area
Tuscaloosa County,Alabama,"Tuscaloosa, AL",Metropolitan Statistical Area
Jerome County,Idaho,"Twin Falls, ID",Metropolitan Statistical Area
Twin Falls County,Idaho,"Twin Falls, ID",Metropolitan Statistical Area
Smith County,Texas,"Tyler, TX",Metropolitan Statistical Area
Mendocino County,California,"Ukiah, CA",Micropolitan Statistical Area
Obion County,Tennessee,"Union City, TN",Micropolitan Statistical Area
Champaign County,Ohio,"Urbana, OH",Micropolitan Statistical Area
Honolulu County,Hawaii,"Urban Honolulu, HI",Metropolitan Statistical Area
Herkimer County,New York,"Utica-Rome, NY",Metropolitan Statistical Area
Oneida County,New York,"Utica-Rome, NY",Metropolitan Statistical Area
Utuado Municipio,Puerto Rico,"Utuado, PR",Micropolitan Statistical Area
Uvalde County,Texas,"Uvalde, TX",Micropolitan Statistical Area
Brooks County,Georgia,"Valdosta, GA",Metropolitan Statistical Area
Echols County,Georgia,"Valdosta, GA",Metropolitan Statistical Area
Lanier County,Georgia,"Valdosta, GA",Metropolitan Statistical Area
Lowndes County,Georgia,"Valdosta, GA",Metropolitan Statistical Area
Solano County,California,"Vallejo, CA",Metropolitan Statistical Area
Van Wert County,Ohio,"Van Wert, OH",Micropolitan Statistical Area
Clay County,South Dakota,"Vermillion, SD",Micropolitan Statistical Area
Uintah County,Utah,"Vernal, UT",Micropolitan Statistical Area
Wilbarger County,Texas,"Vernon, TX",Micropolitan Statistical Area
Warren County,Mississippi,"Vicksburg, MS",Micropolitan Statistical Area
Goliad County,Texas,"Victoria, TX",Metropolitan Statistical Area
Victoria County,Texas,"Victoria, TX",Metropolitan Statistical Area
Montgomery County,Georgia,"Vidalia, GA",Micropolitan Statistical Area
Toombs County,Georgia,"Vidalia, GA",Micropolitan Statistical Area
Knox County,Indiana,"Vincennes, IN",Micropolitan Statistical Area
Cumberland County,New Jersey,"Vineland, NJ",Metropolitan Statistical Area
Dukes County,Massachusetts,"Vineyard Haven, MA",Micropolitan Statistical Area
Camden County,North Carolina,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Currituck County,North Carolina,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Gates County,North Carolina,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Gloucester County,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Isle of Wight County,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
James City County,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Mathews County,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Surry County,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
York County,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Chesapeake city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Hampton city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Newport News city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Norfolk city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Poquoson city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Portsmouth city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Suffolk city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Virginia Beach city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Williamsburg city,Virginia,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Metropolitan Statistical Area
Tulare County,California,"Visalia, CA",Metropolitan Statistical Area
Wabash County,Indiana,"Wabash, IN",Micropolitan Statistical Area
Bosque County,Texas,"Waco, TX",Metropolitan Statistical Area
Falls County,Texas,"Waco, TX",Metropolitan Statistical Area
McLennan County,Texas,"Waco, TX",Metropolitan Statistical Area
Wilkin County,Minnesota,"Wahpeton, ND-MN",Micropolitan Statistical Area
Richland County,North Dakota,"Wahpeton, ND-MN",Micropolitan Statistical Area
Walla Walla County,Washington,"Walla Walla, WA",Metropolitan Statistical Area
Auglaize County,Ohio,"Wapakoneta, OH",Micropolitan Statistical Area
Houston County,Georgia,"Warner Robins, GA",Metropolitan Statistical Area
Peach County,Georgia,"Warner Robins, GA",Metropolitan Statistical Area
Warren County,Pennsylvania,"Warren, PA",Micropolitan Statistical Area
Johnson County,Missouri,"Warrensburg, MO",Micropolitan Statistical Area
Kosciusko County,Indiana,"Warsaw, IN",Micropolitan Statistical Area
Daviess County,Indiana,"Washington, IN",Micropolitan Statistical Area
Beaufort County,North Carolina,"Washington, NC",Micropolitan Statistical Area
Arlington County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Clarke County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Culpeper County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Fairfax County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Fauquier County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Loudoun County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Prince William County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Rappahannock County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Spotsylvania County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Stafford County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Warren County,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Alexandria city,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
Fairfax city,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area
